id,n_of_stars,date,text
1al,5.0,"sep 2nd, 2020",yooo fire shit my guy. I am ordering again asap. you got a custy for life.fast shipping quality merch good price... Im rocking with u fam.
1al,5.0,"sep 1st, 2020",FE early I trusted him and cant wait for my gas to come in
1al,5.0,"aug 31st, 2020",fire as always
1al,5.0,"aug 31st, 2020",Great. Excellent vendor
1al,5.0,"aug 31st, 2020",5DD and product came airtight and weighed correctly. 10/10. Thanks VH!
1al,5.0,"aug 31st, 2020",Great Product! Smokes Great! Very Satisfied! Great Packaging! Everything is A's in my book. I will be back for more!!
1al,5.0,"aug 31st, 2020","Great quality, great price, and great shipping. Holy trinity of bud on the darknet couldn't have gone better."
1al,5.0,"aug 31st, 2020","Came in on time, sealed multiple times, and will flip for a good bit."
1al,5.0,"aug 30th, 2020",As described. Fast shipping. 5 stars
1al,5.0,"aug 30th, 2020",Good product flip!!!
1al,5.0,"aug 30th, 2020",niceeee
1al,5.0,"aug 29th, 2020",a+
1al,4.0,"aug 29th, 2020",Quick shipping
1al,5.0,"aug 29th, 2020",Fast shipping. Exotic Flavors. 10 Stars.
1al,5.0,"aug 29th, 2020","Good quality smoke , especially for the price. So far it cannot be beaten! Ordered Friday a.m. , it arrived following Fri. Could be much worse so I'm not complaining, especially since I buy personal. Always great stealth! Thanks"
1al,5.0,"aug 29th, 2020",Appreciate you fam.
1al,5.0,"aug 28th, 2020",Primo quality for price on this site
1al,5.0,"aug 28th, 2020","stealth packaging was amazing. bud looks and smells great. Definitely recommend copping some of this while its still in stock, definitely worth tha price."
1al,5.0,"aug 28th, 2020","Good stealth, fast shipping, really dense and nice buds definitely a great listing. The jars are nice airtight."
1al,5.0,"aug 28th, 2020","Fast shipping, great product, packaging was excellent. No complaints here"
1al,5.0,"aug 28th, 2020",Gonna FE on this one so I cam order 10 more...Order with confidence!!!!
1al,5.0,"aug 27th, 2020",Always on point
1al,5.0,"aug 27th, 2020",All good. Thanks!
1al,5.0,"aug 27th, 2020",Another flawless transaction....Perfect every time and shipping is like greased lightning!!! These are an easy flip to double your money or for personal fire ass smoke!!! You can't go wrong with product!!!
