name,id,amount,price,category,main_product_name,main_product_id,shipping_from,ratings,vendor
,19v,1 pcs,$30,flowers,4 x SFV Boys Tin 3.5 Grams,1al,United States,1000+,ValleyHeat
,1ak,2 pcs,$50,flowers,4 x SFV Boys Tin 3.5 Grams,1al,United States,1000+,ValleyHeat
4 x SFV Boys Tin 3.5 Grams,1al,4 pcs,$100,flowers,4 x SFV Boys Tin 3.5 Grams,1al,United States,1000+,ValleyHeat
,1an,8 pcs,$200,flowers,4 x SFV Boys Tin 3.5 Grams,1al,United States,1000+,ValleyHeat
,1aq,10 pcs,$250,flowers,4 x SFV Boys Tin 3.5 Grams,1al,United States,1000+,ValleyHeat
,1as,20 pcs,$500,flowers,4 x SFV Boys Tin 3.5 Grams,1al,United States,1000+,ValleyHeat
Skywalker OG QP,kp7,4 ounces,$635,flowers,Skywalker POUND (direct pay),qbr,United States,43,budsanddrugs
SKywalker OG POUND,okj,1 pound,"$2,500",flowers,Skywalker POUND (direct pay),qbr,United States,43,budsanddrugs
Skywalker POUND (DIRECT PAY),pv8,2 pound+,"$2,350 / lbs",flowers,Skywalker POUND (direct pay),qbr,United States,43,budsanddrugs
Skywalker OG POUND,qos,3 pound+,"$2,300 / lbs",flowers,Skywalker POUND (direct pay),qbr,United States,43,budsanddrugs
Skywalker POUND (direct pay),qbr,,"$2,400",flowers,Skywalker POUND (direct pay),qbr,United States,43,budsanddrugs
,pir,56 g,$190,flowers,1 Pound Dark Star Outdoor,odk,United States,28,William_Shatner
,odw,112 g,$360,flowers,1 Pound Dark Star Outdoor,odk,United States,28,William_Shatner
,odo,224 g,$710,flowers,1 Pound Dark Star Outdoor,odk,United States,28,William_Shatner
1 Pound Dark Star Outdoor,odk,1 lbs,"$1,250",flowers,1 Pound Dark Star Outdoor,odk,United States,28,William_Shatner
,ods,2 lbs+,"$1,200 / lbs",flowers,1 Pound Dark Star Outdoor,odk,United States,28,William_Shatner
,oe0,4 lbs+,"$1,250 / lbs",flowers,1 Pound Dark Star Outdoor,odk,United States,28,William_Shatner
28G SMALL NUGS -Private Reserve- No shake,dd4,28 g,$160,flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,ddc,112 g,$625,flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,flr,224 g,"$1,200",flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,ixz,448 g,"$2,300",flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,q17,2 lbs,"$4,500",flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,q1b,5 lbs,"$11,000",flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,rtf,10 lbs,"$20,000",flowers,28G SMALL NUGS -Private Reserve- No shake,dd4,United States,270,WeedNation
,rgb,7 grams,$60,flowers,1oz Bubba Kush - Medical Grade Indoor,rg3,United States,1,CannaRush
,rg7,14 grams,$110,flowers,1oz Bubba Kush - Medical Grade Indoor,rg3,United States,1,CannaRush
1oz Bubba Kush - Medical Grade Indoor,rg3,1 ounce,$190,flowers,1oz Bubba Kush - Medical Grade Indoor,rg3,United States,1,CannaRush
,rgf,2 ounces,$360,flowers,1oz Bubba Kush - Medical Grade Indoor,rg3,United States,1,CannaRush
,rgj,4 ounces,$675,flowers,1oz Bubba Kush - Medical Grade Indoor,rg3,United States,1,CannaRush
14G SOUR POWER (HYBRID),3qy,1 piece,$125,flowers,28G SOUR POWER (HYBRID),3r1,United States,205,drgreenthumb4201
7G SOUR POWER (HYBRID),3qv,1 piece,$80,flowers,28G SOUR POWER (HYBRID),3r1,United States,205,drgreenthumb4201
4G SOUR POWER (HYBRID),3qs,1 piece,$50,flowers,28G SOUR POWER (HYBRID),3r1,United States,205,drgreenthumb4201
28G SOUR POWER (HYBRID),3r1,,$225,flowers,28G SOUR POWER (HYBRID),3r1,United States,205,drgreenthumb4201
Lavender Layer Cake Indoor 3.5g,bhz,,$29.95,flowers,Lavender Layer Cake Indoor 3.5g,bhz,United States,124,Frost_Garden
Grade A - 1 oz,22v,1 ounce,$159,flowers,Grade A - 1 oz,22v,United States,1000+,SilentGhost
,22r,4 ounces,$599,flowers,Grade A - 1 oz,22v,United States,1000+,SilentGhost
,22t,8 ounces,"$1,150",flowers,Grade A - 1 oz,22v,United States,1000+,SilentGhost
,22u,1 pound,"$2,200",flowers,Grade A - 1 oz,22v,United States,1000+,SilentGhost
28g Mix-n-Match Top Shelf Indoor Medical Marijuana,1br,28 grams,$280,flowers,28g Mix-n-Match Top Shelf Indoor Medical Marijuana,1br,United States,277,SFTreats
,bv3,56 grams,$475,flowers,28g Mix-n-Match Top Shelf Indoor Medical Marijuana,1br,United States,277,SFTreats
,1la,112 grams,$850,flowers,28g Mix-n-Match Top Shelf Indoor Medical Marijuana,1br,United States,277,SFTreats
Custom Order Credit / Tip Jar,1bw,,$1 / pcs,flowers,Custom Order Credit / Tip Jar,1bw,United States,147,SFTreats
TIPS/CUSTOMS,8ay,,$1 / pcs,flowers,TIPS/CUSTOMS,8ay,United States,156,ExoticsClub
XJ-13 Indoor 3.5g,rre,,$29.95,flowers,XJ-13 Indoor 3.5g,rre,United States,414,Frost_Garden
,buz,56 grams,$380,flowers,112g Mix-n-Match Legacy and Light Dep Medical Marijuana,22e,United States,106,SFTreats
112g Mix-n-Match Legacy and Light Dep Medical Marijuana,22e,112 grams,$700,flowers,112g Mix-n-Match Legacy and Light Dep Medical Marijuana,22e,United States,106,SFTreats
Tip Jar,52e,,$1,flowers,Tip Jar,52e,United States,69,BuddhaBazaar
,s1j,3.5 g,$45,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
,nyr,7 g,$80,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
,nyn,14 g,$145,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
28g Larry Bird Modern Indoor Medical Marijuana,1bn,28 g,$275,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
,1bo,56 g,$475,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
,1bq,112 g,$850,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
Super Jack Indoor,kmb,,$80,flowers,Super Jack Indoor,kmb,United States,57,BuddhaBazaar
14G CHEM DAWG (SATIVA),1rq,1 piece,$90,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
7G CHEM DAWG (SATIVA),1rp,1 piece,$60,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
4G CHEM DAWG (SATIVA),1ro,1 piece,$35,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
28G CHEM DAWG (SATIVA),1rr,,$165,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
1$ Listing,152,,$1,flowers,1$ Listing,152,United States,412,ValleyHeat
400MG Box of Edible Gummies (5 boxes),jvw,20 pcs,$100,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,jw0,40 pcs,$190,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,jw4,80 pcs,$360,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,k1v,200 pcs,$850,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,k1z,400 pcs,"$1,600",flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,k23,1200 pcs,"$4,500",flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
Tip Jar,1gu,,$1,flowers,Tip Jar,1gu,United States,66,outerviscera
TIP JAR/ CUSTOM ORDER,1qn,,$1,flowers,TIP JAR/ CUSTOM ORDER,1qn,United States,217,budsanddrugs
,3gw,4 grams,$41,flowers,10g LSD OG Medical Grade Indica,3h2,United States,41,green_usa
,3gy,7 grams,$69,flowers,10g LSD OG Medical Grade Indica,3h2,United States,41,green_usa
10g LSD OG Medical Grade Indica,3h2,10 grams,$105,flowers,10g LSD OG Medical Grade Indica,3h2,United States,41,green_usa
Pineapple Express PEX/ 28 Grams,6fe,28 grams,$168.75,flowers,Pineapple Express PEX/ 28 Grams,6fe,United States,103,DarkAngus
